Gene,MeanTumor,MeanNormal,LogFC,PValue,Padj,AbsLogFC,ENSEMBL_clean,SYMBOL
ENSG00000233549,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000233549,
ENSG00000235181,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000235181,
ENSG00000237377,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000237377,
ENSG00000242423,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000242423,RPL12P36
ENSG00000250897,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000250897,HMGB3P15
ENSG00000254320,0.0230769230769231,0,0.0230769230769231,0.0336336719051082,0.0611582948649759,0.0230769230769231,ENSG00000254320,
ENSG00000254921,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000254921,
ENSG00000255825,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000255825,
ENSG00000257095,0.0230769230769231,0,0.0230769230769231,0.033633671905108,0.0611582948649759,0.0230769230769231,ENSG00000257095,SRRM4-AS1
ENSG00000263813,0.0230769230769231,0,0.0230769230769231,0.033633671905108,0.0611582948649759,0.0230769230769231,ENSG00000263813,MIR3679
ENSG00000264342,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000264342,MIR3660
